College,SAT,Acceptance Rate,Earnings 6 yrs after entry,Share First Generation,Retention Rate,Student Faculty Ratio,Mean Net Price,Diversity,Students with Loans,Faculty Salary
Northern State University,,,40756,0.3438438438,0.6951,14,13009,0.29469999999999996,0.7919556172,6108
Northern Vermont University,,0.7539,33456,0.4215552524,0.5692,10,15580,0.26,0.9175257732,7279
Northland College,,,27119,0.4664371773,0.4167,12,6123,0.5765999999999999,,6888
Northpoint Bible College,,,33764,0.4375,0.6944,9,25478,0.30150000000000005,0.887254902,4879
Northwest Florida State College,,,31393,0.4357734807,,23,6464,0.3618,0.1565814099,5485
Northwest Missouri State University,1104,0.8558,39762,0.3080851064,0.7556,19,13398,0.1695,0.8891104906,7520
Northwest Nazarene University,1112,0.8815,43353,0.3388429752,0.7411,14,22893,0.23300000000000004,0.9183359014,6600
Northwest University,1112,0.8815,43353,0.3388429752,0.7411,14,22893,0.23300000000000004,0.9183359014,6600
Northwestern College,,,30405,0.513916501,,14,19243,0.8543999999999999,0.9483532934,5633
Northwestern Health Sciences University,,,39578,0.2486772487,,4,23567,0.775,,5861
Northwestern Oklahoma State University,1028,0.593,38628,0.430952381,0.567,14,10970,0.3749,0.7470010905,6609
Northwestern State University of Louisiana,1015,0.9628,38420,0.424301676,0.6384,19,14657,0.477,0.8331239005,6720
Northwestern University,1015,0.9628,38420,0.424301676,0.6384,19,14657,0.477,0.8331239005,6720
Northwood University,,0.8335,51053,0.397157816,0.8462,9,22912,0.3059,0.9017301038,6629
Norwich University,,0.8677,58857,0.2363090773,0.7376,14,25897,0.291,0.8926553672,7729
Notre Dame College,1008,0.8239,40128,0.3291713961,0.6099,12,16223,0.5005000000000001,0.9757894737,5260
Notre Dame de Namur University,,,56360,0.4584221748,,,,0.0,0.9489603025,8407
Notre Dame of Maryland University,,0.6509,52247,0.4094292804,0.7465,7,27149,0.6605,0.8512585812,7089
Nova Southeastern University,1187,0.925,48167,0.373340143,0.776,17,25737,0.741,0.856557377,10512
Oak Hills Christian College,,,27381,,0.3333,10,20122,0.26249999999999996,0.8194444444,4250
Oak Point University,,,76137,0.4575892857,,7,,0.7273000000000001,0.9642184557,8090
Oakland City University,1061,0.7262,39407,0.4416058394,0.75,12,11304,0.4366,0.8311258278,6096
Oakland University,1117,0.9209,45402,0.3242526092,0.7306,17,12729,0.2908,0.8718584656,9749
Oakwood University,,0.7185,29463,0.17623498,0.7327,10,22588,0.9984,0.9133089133,5011
Oberlin College,1419,0.3434,35126,0.0886699507,0.9098,9,34498,0.39189999999999997,0.9504,8927
Occidental College,1422,0.3824,52638,0.1759259259,0.9179,9,29663,0.5301999999999999,0.9366197183,11376
Oglethorpe University,1223,0.8129,39475,0.1992409867,0.7919,14,14079,0.6195,0.8888888889,7086
Ohio Christian University,,,27732,0.5474074074,0.6535,9,22451,0.3819,0.8835866261,1923
Ohio Dominican University,,0.5355,41542,0.3791469194,0.5751,14,21015,0.4738,0.9563318777,6642
